Original_ID	Uniprot_ID	Structure_Alphafold	Source
A0A0A6YX40	A0A0A6YX40	../datasets/Structures/A0A0A6YX40.pdb	alphafold
A0A0A6YX73	A0A0A6YX73	../datasets/Structures/A0A0A6YX73.pdb	alphafold
A0A0A6YXG1	A0A0A6YXG1	No structure available	NA
A0A0A6YXL6	A0A0A6YXL6	No structure available	NA
A0A0A6YXM5	A0A0A6YXM5	../datasets/Structures/A0A0A6YXM5.pdb	alphafold
A0A0A6YY64	A0A0A6YY64	../datasets/Structures/A0A0A6YY64.pdb	alphafold
A0A0A6YY67	A0A0A6YY67	No structure available	NA
A0A0B4J1E6	A0A0B4J1E6	../datasets/Structures/A0A0B4J1E6.pdb	alphafold
A0A0B4J1G0	A0A0B4J1G0	../datasets/Structures/A0A0B4J1G0.pdb	alphafold
A0A0D2X7Z2	A0A0D2X7Z2	../datasets/Structures/A0A0D2X7Z2.pdb	alphafold
A0A0F6AIX5	A0A0F6AIX5	../datasets/Structures/A0A0F6AIX5.pdb	alphafold
A0A0G2JDH8	A0A0G2JDH8	../datasets/Structures/A0A0G2JDH8.pdb	alphafold
A0A0G2JDQ1	A0A0G2JDQ1	../datasets/Structures/A0A0G2JDQ1.pdb	alphafold
A0A0G2JDS8	A0A0G2JDS8	../datasets/Structures/A0A0G2JDS8.pdb	alphafold
A0A0G2JDW7	A0A0G2JDW7	../datasets/Structures/A0A0G2JDW7.pdb	alphafold
A0A0G2JE03	A0A0G2JE03	../datasets/Structures/A0A0G2JE03.pdb	alphafold
A0A0G2JE97	A0A0G2JE97	../datasets/Structures/A0A0G2JE97.pdb	alphafold
A0A0G2JEB8	A0A0G2JEB8	../datasets/Structures/A0A0G2JEB8.pdb	alphafold
A0A0G2JEG2	A0A0G2JEG2	../datasets/Structures/A0A0G2JEG2.pdb	alphafold
A0A0G2JEG3	A0A0G2JEG3	../datasets/Structures/A0A0G2JEG3.pdb	alphafold
A0A0G2JEH5	A0A0G2JEH5	../datasets/Structures/A0A0G2JEH5.pdb	alphafold
A0A0G2JET2	A0A0G2JET2	../datasets/Structures/A0A0G2JET2.pdb	alphafold
A0A0G2JF30	A0A0G2JF30	../datasets/Structures/A0A0G2JF30.pdb	alphafold
A0A0G2JF44	A0A0G2JF44	../datasets/Structures/A0A0G2JF44.pdb	alphafold
A0A0G2JFB2	A0A0G2JFB2	../datasets/Structures/A0A0G2JFB2.pdb	alphafold
A0A0G2JFF9	A0A0G2JFF9	../datasets/Structures/A0A0G2JFF9.pdb	alphafold
A0A0G2JFN1	A0A0G2JFN1	../datasets/Structures/A0A0G2JFN1.pdb	alphafold
A0A0G2JFQ4	A0A0G2JFQ4	No structure available	NA
A0A0G2JFT8	A0A0G2JFT8	../datasets/Structures/A0A0G2JFT8.pdb	alphafold
A0A0G2JFZ4	A0A0G2JFZ4	../datasets/Structures/A0A0G2JFZ4.pdb	alphafold
A0A0G2JGD2	A0A0G2JGD2	../datasets/Structures/A0A0G2JGD2.pdb	alphafold
A0A0G2JGF1	A0A0G2JGF1	../datasets/Structures/A0A0G2JGF1.pdb	alphafold
A0A0G2JGP4	A0A0G2JGP4	../datasets/Structures/A0A0G2JGP4.pdb	alphafold
A0A0G2JGX4	A0A0G2JGX4	../datasets/Structures/A0A0G2JGX4.pdb	alphafold
A0A0H2UKB8	A0A0H2UKB8	../datasets/Structures/A0A0H2UKB8.pdb	alphafold
A0A0J9YIW4	A0A0J9YIW4	../datasets/Structures/A0A0J9YIW4.pdb	alphafold
A0A0J9YTR2	A0A0J9YTR2	../datasets/Structures/A0A0J9YTR2.pdb	alphafold
A0A0J9YTU1	A0A0J9YTU1	../datasets/Structures/A0A0J9YTU1.pdb	alphafold
A0A0J9YTU3	A0A0J9YTU3	../datasets/Structures/A0A0J9YTU3.pdb	alphafold
A0A0J9YU93	A0A0J9YU93	../datasets/Structures/A0A0J9YU93.pdb	alphafold
A0A0J9YUM4	A0A0J9YUM4	../datasets/Structures/A0A0J9YUM4.pdb	alphafold
A0A0J9YUN2	A0A0J9YUN2	../datasets/Structures/A0A0J9YUN2.pdb	alphafold
A0A0J9YUT8	A0A0J9YUT8	../datasets/Structures/A0A0J9YUT8.pdb	alphafold
A0A0J9YUZ4	A0A0J9YUZ4	../datasets/Structures/A0A0J9YUZ4.pdb	alphafold
A0A0J9YV01	A0A0J9YV01	../datasets/Structures/A0A0J9YV01.pdb	alphafold
A0A0K2H409	A0A0K2H409	../datasets/Structures/A0A0K2H409.pdb	alphafold
A0A0K2H416	A0A0K2H416	../datasets/Structures/A0A0K2H416.pdb	alphafold
A0A0K2H440	A0A0K2H440	../datasets/Structures/A0A0K2H440.pdb	alphafold
A0A0K2H482	A0A0K2H482	../datasets/Structures/A0A0K2H482.pdb	alphafold
A0A0K2H4C3	A0A0K2H4C3	../datasets/Structures/A0A0K2H4C3.pdb	alphafold
A0A0K2H4F8	A0A0K2H4F8	../datasets/Structures/A0A0K2H4F8.pdb	alphafold
A0A0K2H4H8	A0A0K2H4H8	../datasets/Structures/A0A0K2H4H8.pdb	alphafold
A0A0K2H4L3	A0A0K2H4L3	../datasets/Structures/A0A0K2H4L3.pdb	alphafold
A0A0K2H4P5	A0A0K2H4P5	../datasets/Structures/A0A0K2H4P5.pdb	alphafold
A0A0K2H4P8	A0A0K2H4P8	../datasets/Structures/A0A0K2H4P8.pdb	alphafold
A0A0K2H4T3	A0A0K2H4T3	../datasets/Structures/A0A0K2H4T3.pdb	alphafold
A0A0K2H4T8	A0A0K2H4T8	../datasets/Structures/A0A0K2H4T8.pdb	alphafold
A0A0K2H4U6	A0A0K2H4U6	../datasets/Structures/A0A0K2H4U6.pdb	alphafold
A0A0K2H4V9	A0A0K2H4V9	../datasets/Structures/A0A0K2H4V9.pdb	alphafold
A0A0K2H4W0	A0A0K2H4W0	../datasets/Structures/A0A0K2H4W0.pdb	alphafold
A0A0K2H4W1	A0A0K2H4W1	../datasets/Structures/A0A0K2H4W1.pdb	alphafold
A0A0K2H4W7	A0A0K2H4W7	../datasets/Structures/A0A0K2H4W7.pdb	alphafold
A0A0K2H4X0	A0A0K2H4X0	../datasets/Structures/A0A0K2H4X0.pdb	alphafold
A0A0K2H4Y3	A0A0K2H4Y3	../datasets/Structures/A0A0K2H4Y3.pdb	alphafold
A0A0K2H4Y7	A0A0K2H4Y7	../datasets/Structures/A0A0K2H4Y7.pdb	alphafold
A0A0K2H4Y8	A0A0K2H4Y8	../datasets/Structures/A0A0K2H4Y8.pdb	alphafold
A0A0K2H4Z5	A0A0K2H4Z5	../datasets/Structures/A0A0K2H4Z5.pdb	alphafold
A0A0K2H4Z6	A0A0K2H4Z6	../datasets/Structures/A0A0K2H4Z6.pdb	alphafold
A0A0K2H4Z9	A0A0K2H4Z9	../datasets/Structures/A0A0K2H4Z9.pdb	alphafold
A0A0K2H505	A0A0K2H505	../datasets/Structures/A0A0K2H505.pdb	alphafold
A0A0K2H513	A0A0K2H513	../datasets/Structures/A0A0K2H513.pdb	alphafold
A0A0K2H514	A0A0K2H514	No structure available	NA
A0A0K2H519	A0A0K2H519	../datasets/Structures/A0A0K2H519.pdb	alphafold
A0A0K2H533	A0A0K2H533	../datasets/Structures/A0A0K2H533.pdb	alphafold
A0A0K2H535	A0A0K2H535	../datasets/Structures/A0A0K2H535.pdb	alphafold
A0A0K2H537	A0A0K2H537	../datasets/Structures/A0A0K2H537.pdb	alphafold
A0A0K2H551	A0A0K2H551	../datasets/Structures/A0A0K2H551.pdb	alphafold
A0A0K2H563	A0A0K2H563	../datasets/Structures/A0A0K2H563.pdb	alphafold
A0A0K2H564	A0A0K2H564	../datasets/Structures/A0A0K2H564.pdb	alphafold
A0A0K2H569	A0A0K2H569	../datasets/Structures/A0A0K2H569.pdb	alphafold
A0A0K2H570	A0A0K2H570	../datasets/Structures/A0A0K2H570.pdb	alphafold
A0A0K2H571	A0A0K2H571	../datasets/Structures/A0A0K2H571.pdb	alphafold
A0A0K2H572	A0A0K2H572	../datasets/Structures/A0A0K2H572.pdb	alphafold
A0A0K2H574	A0A0K2H574	../datasets/Structures/A0A0K2H574.pdb	alphafold
A0A0K2H576	A0A0K2H576	../datasets/Structures/A0A0K2H576.pdb	alphafold
A0A0K2H577	A0A0K2H577	../datasets/Structures/A0A0K2H577.pdb	alphafold
A0A0K2H580	A0A0K2H580	../datasets/Structures/A0A0K2H580.pdb	alphafold
A0A0K2H582	A0A0K2H582	../datasets/Structures/A0A0K2H582.pdb	alphafold
A0A0K2H586	A0A0K2H586	../datasets/Structures/A0A0K2H586.pdb	alphafold
A0A0K2H594	A0A0K2H594	../datasets/Structures/A0A0K2H594.pdb	alphafold
A0A0K2H597	A0A0K2H597	../datasets/Structures/A0A0K2H597.pdb	alphafold
A0A0K2H598	A0A0K2H598	../datasets/Structures/A0A0K2H598.pdb	alphafold
A0A0K2H599	A0A0K2H599	../datasets/Structures/A0A0K2H599.pdb	alphafold
A0A0K2H5A5	A0A0K2H5A5	../datasets/Structures/A0A0K2H5A5.pdb	alphafold
A0A0K2H5A6	A0A0K2H5A6	../datasets/Structures/A0A0K2H5A6.pdb	alphafold
A0A0K2H5A7	A0A0K2H5A7	../datasets/Structures/A0A0K2H5A7.pdb	alphafold
A0A0K2H5B2	A0A0K2H5B2	../datasets/Structures/A0A0K2H5B2.pdb	alphafold
A0A0K2H5B7	A0A0K2H5B7	../datasets/Structures/A0A0K2H5B7.pdb	alphafold
A0A0K2H5D5	A0A0K2H5D5	../datasets/Structures/A0A0K2H5D5.pdb	alphafold
A0A0K2H5D8	A0A0K2H5D8	../datasets/Structures/A0A0K2H5D8.pdb	alphafold
A0A0K2H5E0	A0A0K2H5E0	../datasets/Structures/A0A0K2H5E0.pdb	alphafold
A0A0K2H5E3	A0A0K2H5E3	../datasets/Structures/A0A0K2H5E3.pdb	alphafold
A0A0K2H5E7	A0A0K2H5E7	../datasets/Structures/A0A0K2H5E7.pdb	alphafold
A0A0K2H5F1	A0A0K2H5F1	../datasets/Structures/A0A0K2H5F1.pdb	alphafold
A0A0K2H5F5	A0A0K2H5F5	../datasets/Structures/A0A0K2H5F5.pdb	alphafold
A0A0K2H5F8	A0A0K2H5F8	../datasets/Structures/A0A0K2H5F8.pdb	alphafold
A0A0K2H5G3	A0A0K2H5G3	../datasets/Structures/A0A0K2H5G3.pdb	alphafold
A0A0K2H5G7	A0A0K2H5G7	../datasets/Structures/A0A0K2H5G7.pdb	alphafold
A0A0K2H5G9	A0A0K2H5G9	../datasets/Structures/A0A0K2H5G9.pdb	alphafold
A0A0K2H5H0	A0A0K2H5H0	../datasets/Structures/A0A0K2H5H0.pdb	alphafold
A0A0K2H5H2	A0A0K2H5H2	../datasets/Structures/A0A0K2H5H2.pdb	alphafold
A0A0K2H5H6	A0A0K2H5H6	../datasets/Structures/A0A0K2H5H6.pdb	alphafold
A0A0K2H5I0	A0A0K2H5I0	../datasets/Structures/A0A0K2H5I0.pdb	alphafold
A0A0K2H5J1	A0A0K2H5J1	../datasets/Structures/A0A0K2H5J1.pdb	alphafold
A0A0K2H5J7	A0A0K2H5J7	../datasets/Structures/A0A0K2H5J7.pdb	alphafold
A0A0K2H5J8	A0A0K2H5J8	../datasets/Structures/A0A0K2H5J8.pdb	alphafold
A0A0K2H5K6	A0A0K2H5K6	../datasets/Structures/A0A0K2H5K6.pdb	alphafold
A0A0K2H5L1	A0A0K2H5L1	../datasets/Structures/A0A0K2H5L1.pdb	alphafold
A0A0K2H5L4	A0A0K2H5L4	../datasets/Structures/A0A0K2H5L4.pdb	alphafold
A0A0K2H5L6	A0A0K2H5L6	../datasets/Structures/A0A0K2H5L6.pdb	alphafold
A0A0K2H5L8	A0A0K2H5L8	../datasets/Structures/A0A0K2H5L8.pdb	alphafold
A0A0K2H5M1	A0A0K2H5M1	../datasets/Structures/A0A0K2H5M1.pdb	alphafold
A0A0K2H5Q4	A0A0K2H5Q4	../datasets/Structures/A0A0K2H5Q4.pdb	alphafold
A0A0K2H5Q9	A0A0K2H5Q9	../datasets/Structures/A0A0K2H5Q9.pdb	alphafold
A0A0K2H5R9	A0A0K2H5R9	../datasets/Structures/A0A0K2H5R9.pdb	alphafold
A0A0K2H5S2	A0A0K2H5S2	../datasets/Structures/A0A0K2H5S2.pdb	alphafold
A0A0K2H5S5	A0A0K2H5S5	../datasets/Structures/A0A0K2H5S5.pdb	alphafold
A0A0K2H5S9	A0A0K2H5S9	../datasets/Structures/A0A0K2H5S9.pdb	alphafold
A0A0K2H5T6	A0A0K2H5T6	../datasets/Structures/A0A0K2H5T6.pdb	alphafold
A0A0K2H5U1	A0A0K2H5U1	../datasets/Structures/A0A0K2H5U1.pdb	alphafold
A0A0K2H5U3	A0A0K2H5U3	../datasets/Structures/A0A0K2H5U3.pdb	alphafold
A0A0K2H5U7	A0A0K2H5U7	../datasets/Structures/A0A0K2H5U7.pdb	alphafold
A0A0K2H5U8	A0A0K2H5U8	../datasets/Structures/A0A0K2H5U8.pdb	alphafold
A0A0K2H5U9	A0A0K2H5U9	../datasets/Structures/A0A0K2H5U9.pdb	alphafold
A0A0K2H5V1	A0A0K2H5V1	../datasets/Structures/A0A0K2H5V1.pdb	alphafold
A0A0K2H5V8	A0A0K2H5V8	../datasets/Structures/A0A0K2H5V8.pdb	alphafold
A0A0K2H5X0	A0A0K2H5X0	../datasets/Structures/A0A0K2H5X0.pdb	alphafold
A0A0K2H5X4	A0A0K2H5X4	../datasets/Structures/A0A0K2H5X4.pdb	alphafold
A0A0K2H5Y3	A0A0K2H5Y3	../datasets/Structures/A0A0K2H5Y3.pdb	alphafold
A0A0K2H5Y7	A0A0K2H5Y7	../datasets/Structures/A0A0K2H5Y7.pdb	alphafold
A0A0K2H5Z1	A0A0K2H5Z1	../datasets/Structures/A0A0K2H5Z1.pdb	alphafold
A0A0K2H5Z5	A0A0K2H5Z5	../datasets/Structures/A0A0K2H5Z5.pdb	alphafold
A0A0K2H602	A0A0K2H602	../datasets/Structures/A0A0K2H602.pdb	alphafold
A0A0K2H606	A0A0K2H606	../datasets/Structures/A0A0K2H606.pdb	alphafold
A0A0K2H619	A0A0K2H619	../datasets/Structures/A0A0K2H619.pdb	alphafold
A0A0K2H622	A0A0K2H622	../datasets/Structures/A0A0K2H622.pdb	alphafold
A0A0K2H626	A0A0K2H626	../datasets/Structures/A0A0K2H626.pdb	alphafold
A0A0K2H628	A0A0K2H628	../datasets/Structures/A0A0K2H628.pdb	alphafold
A0A0K2H634	A0A0K2H634	../datasets/Structures/A0A0K2H634.pdb	alphafold
A0A0K2H638	A0A0K2H638	../datasets/Structures/A0A0K2H638.pdb	alphafold
A0A0K2H643	A0A0K2H643	../datasets/Structures/A0A0K2H643.pdb	alphafold
A0A0K2H646	A0A0K2H646	../datasets/Structures/A0A0K2H646.pdb	alphafold
A0A0K2H648	A0A0K2H648	../datasets/Structures/A0A0K2H648.pdb	alphafold
A0A0K2H651	A0A0K2H651	../datasets/Structures/A0A0K2H651.pdb	alphafold
A0A0K2H653	A0A0K2H653	../datasets/Structures/A0A0K2H653.pdb	alphafold
A0A0K2H655	A0A0K2H655	../datasets/Structures/A0A0K2H655.pdb	alphafold
A0A0K2H657	A0A0K2H657	../datasets/Structures/A0A0K2H657.pdb	alphafold
A0A0K2H658	A0A0K2H658	../datasets/Structures/A0A0K2H658.pdb	alphafold
A0A0K2H660	A0A0K2H660	../datasets/Structures/A0A0K2H660.pdb	alphafold
A0A0K2H662	A0A0K2H662	../datasets/Structures/A0A0K2H662.pdb	alphafold
A0A0K2H666	A0A0K2H666	../datasets/Structures/A0A0K2H666.pdb	alphafold
A0A0K2H671	A0A0K2H671	../datasets/Structures/A0A0K2H671.pdb	alphafold
A0A0K2H675	A0A0K2H675	../datasets/Structures/A0A0K2H675.pdb	alphafold
A0A0K2H676	A0A0K2H676	../datasets/Structures/A0A0K2H676.pdb	alphafold
A0A0K2H682	A0A0K2H682	../datasets/Structures/A0A0K2H682.pdb	alphafold
A0A0K2H692	A0A0K2H692	../datasets/Structures/A0A0K2H692.pdb	alphafold
A0A0K2H695	A0A0K2H695	../datasets/Structures/A0A0K2H695.pdb	alphafold
A0A0K2H698	A0A0K2H698	../datasets/Structures/A0A0K2H698.pdb	alphafold
A0A0K2H6A3	A0A0K2H6A3	../datasets/Structures/A0A0K2H6A3.pdb	alphafold
A0A0K2H6A9	A0A0K2H6A9	../datasets/Structures/A0A0K2H6A9.pdb	alphafold
A0A0K2H6B0	A0A0K2H6B0	../datasets/Structures/A0A0K2H6B0.pdb	alphafold
A0A0K2H6C1	A0A0K2H6C1	../datasets/Structures/A0A0K2H6C1.pdb	alphafold
A0A0K2H6C8	A0A0K2H6C8	../datasets/Structures/A0A0K2H6C8.pdb	alphafold
A0A0K2H6D0	A0A0K2H6D0	../datasets/Structures/A0A0K2H6D0.pdb	alphafold
A0A0K2H6D1	A0A0K2H6D1	../datasets/Structures/A0A0K2H6D1.pdb	alphafold
A0A0K2H6E7	A0A0K2H6E7	../datasets/Structures/A0A0K2H6E7.pdb	alphafold
A0A0K2H6E8	A0A0K2H6E8	../datasets/Structures/A0A0K2H6E8.pdb	alphafold
A0A0K2H6F0	A0A0K2H6F0	../datasets/Structures/A0A0K2H6F0.pdb	alphafold
A0A0K2H6F2	A0A0K2H6F2	../datasets/Structures/A0A0K2H6F2.pdb	alphafold
A0A0K2H6G6	A0A0K2H6G6	../datasets/Structures/A0A0K2H6G6.pdb	alphafold
A0A0K2H6G7	A0A0K2H6G7	../datasets/Structures/A0A0K2H6G7.pdb	alphafold
A0A0K2H6H0	A0A0K2H6H0	../datasets/Structures/A0A0K2H6H0.pdb	alphafold
A0A0K2H6H6	A0A0K2H6H6	../datasets/Structures/A0A0K2H6H6.pdb	alphafold
A0A0K2H6H7	A0A0K2H6H7	../datasets/Structures/A0A0K2H6H7.pdb	alphafold
A0A0K2H6I6	A0A0K2H6I6	../datasets/Structures/A0A0K2H6I6.pdb	alphafold
A0A0K2H6J0	A0A0K2H6J0	../datasets/Structures/A0A0K2H6J0.pdb	alphafold
A0A0K2H6J9	A0A0K2H6J9	../datasets/Structures/A0A0K2H6J9.pdb	alphafold
A0A0K2H6K2	A0A0K2H6K2	../datasets/Structures/A0A0K2H6K2.pdb	alphafold
A0A0K2H6K6	A0A0K2H6K6	../datasets/Structures/A0A0K2H6K6.pdb	alphafold
A0A0K2H6K7	A0A0K2H6K7	../datasets/Structures/A0A0K2H6K7.pdb	alphafold
A0A0K2H6L3	A0A0K2H6L3	../datasets/Structures/A0A0K2H6L3.pdb	alphafold
A0A0K2H6L6	A0A0K2H6L6	../datasets/Structures/A0A0K2H6L6.pdb	alphafold
A0A0K2H6L9	A0A0K2H6L9	../datasets/Structures/A0A0K2H6L9.pdb	alphafold
A0A0K2H6M2	A0A0K2H6M2	../datasets/Structures/A0A0K2H6M2.pdb	alphafold
A0A0K2H6M4	A0A0K2H6M4	../datasets/Structures/A0A0K2H6M4.pdb	alphafold
A0A0K2H6M5	A0A0K2H6M5	../datasets/Structures/A0A0K2H6M5.pdb	alphafold
A0A0K2H6N0	A0A0K2H6N0	../datasets/Structures/A0A0K2H6N0.pdb	alphafold
A0A0K2H6N2	A0A0K2H6N2	../datasets/Structures/A0A0K2H6N2.pdb	alphafold
A0A0K2H6N6	A0A0K2H6N6	../datasets/Structures/A0A0K2H6N6.pdb	alphafold
A0A0K2H6P1	A0A0K2H6P1	../datasets/Structures/A0A0K2H6P1.pdb	alphafold
A0A0K2H6Q4	A0A0K2H6Q4	../datasets/Structures/A0A0K2H6Q4.pdb	alphafold
A0A0K2H6Q6	A0A0K2H6Q6	../datasets/Structures/A0A0K2H6Q6.pdb	alphafold
A0A0K2H6S1	A0A0K2H6S1	../datasets/Structures/A0A0K2H6S1.pdb	alphafold
A0A0K2H6S9	A0A0K2H6S9	../datasets/Structures/A0A0K2H6S9.pdb	alphafold
A0A0K2H6T0	A0A0K2H6T0	../datasets/Structures/A0A0K2H6T0.pdb	alphafold
A0A0K2H6T3	A0A0K2H6T3	../datasets/Structures/A0A0K2H6T3.pdb	alphafold
A0A0K2H6U0	A0A0K2H6U0	../datasets/Structures/A0A0K2H6U0.pdb	alphafold
A0A0K2H6U1	A0A0K2H6U1	../datasets/Structures/A0A0K2H6U1.pdb	alphafold
A0A0K2H6U5	A0A0K2H6U5	../datasets/Structures/A0A0K2H6U5.pdb	alphafold
A0A0K2H6U9	A0A0K2H6U9	../datasets/Structures/A0A0K2H6U9.pdb	alphafold
A0A0K2H6V0	A0A0K2H6V0	../datasets/Structures/A0A0K2H6V0.pdb	alphafold
A0A0K2H6V5	A0A0K2H6V5	../datasets/Structures/A0A0K2H6V5.pdb	alphafold
A0A0K2H6W1	A0A0K2H6W1	../datasets/Structures/A0A0K2H6W1.pdb	alphafold
A0A0K2H6W2	A0A0K2H6W2	../datasets/Structures/A0A0K2H6W2.pdb	alphafold
A0A0K2H6W4	A0A0K2H6W4	../datasets/Structures/A0A0K2H6W4.pdb	alphafold
A0A0K2H6W7	A0A0K2H6W7	../datasets/Structures/A0A0K2H6W7.pdb	alphafold
A0A0K2H6W9	A0A0K2H6W9	../datasets/Structures/A0A0K2H6W9.pdb	alphafold
A0A0K2H6Y0	A0A0K2H6Y0	../datasets/Structures/A0A0K2H6Y0.pdb	alphafold
A0A0K2H6Y8	A0A0K2H6Y8	../datasets/Structures/A0A0K2H6Y8.pdb	alphafold
A0A0K2H6Z3	A0A0K2H6Z3	../datasets/Structures/A0A0K2H6Z3.pdb	alphafold
A0A0K2H6Z4	A0A0K2H6Z4	../datasets/Structures/A0A0K2H6Z4.pdb	alphafold
A0A0K2H6Z6	A0A0K2H6Z6	../datasets/Structures/A0A0K2H6Z6.pdb	alphafold
A0A0K2H712	A0A0K2H712	../datasets/Structures/A0A0K2H712.pdb	alphafold
A0A0K2H717	A0A0K2H717	../datasets/Structures/A0A0K2H717.pdb	alphafold
A0A0K2H734	A0A0K2H734	../datasets/Structures/A0A0K2H734.pdb	alphafold
A0A0K2H740	A0A0K2H740	../datasets/Structures/A0A0K2H740.pdb	alphafold
A0A0K2H741	A0A0K2H741	../datasets/Structures/A0A0K2H741.pdb	alphafold
A0A0K2H758	A0A0K2H758	../datasets/Structures/A0A0K2H758.pdb	alphafold
A0A0K2H765	A0A0K2H765	../datasets/Structures/A0A0K2H765.pdb	alphafold
A0A0K2H766	A0A0K2H766	../datasets/Structures/A0A0K2H766.pdb	alphafold
A0A0K2H773	A0A0K2H773	../datasets/Structures/A0A0K2H773.pdb	alphafold
A0A0K2H775	A0A0K2H775	../datasets/Structures/A0A0K2H775.pdb	alphafold
A0A0K2H776	A0A0K2H776	../datasets/Structures/A0A0K2H776.pdb	alphafold
A0A0K2H788	A0A0K2H788	../datasets/Structures/A0A0K2H788.pdb	alphafold
A0A0K2H791	A0A0K2H791	../datasets/Structures/A0A0K2H791.pdb	alphafold
A0A0K2H792	A0A0K2H792	../datasets/Structures/A0A0K2H792.pdb	alphafold
A0A0K2H797	A0A0K2H797	../datasets/Structures/A0A0K2H797.pdb	alphafold
A0A0K2H799	A0A0K2H799	../datasets/Structures/A0A0K2H799.pdb	alphafold
A0A0K2H7A5	A0A0K2H7A5	../datasets/Structures/A0A0K2H7A5.pdb	alphafold
A0A0K2H7B3	A0A0K2H7B3	../datasets/Structures/A0A0K2H7B3.pdb	alphafold
A0A0K2H7B6	A0A0K2H7B6	../datasets/Structures/A0A0K2H7B6.pdb	alphafold
A0A0K2H7C3	A0A0K2H7C3	../datasets/Structures/A0A0K2H7C3.pdb	alphafold
A0A0K2H7C7	A0A0K2H7C7	../datasets/Structures/A0A0K2H7C7.pdb	alphafold
A0A0K2H7C8	A0A0K2H7C8	../datasets/Structures/A0A0K2H7C8.pdb	alphafold
